Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Explicit Track
Are You Bored Yet? (feat. Clairo),Are You Bored Yet? (feat. Clairo),Wallows,2019-02-01,USAT21812258,0.6395837502501501,24.4,0.15646372106921413,0.14041033823347576,0.1168718651990702,0.6947368421052631,0.05569480061692637,0.08101770992718253,0.00405291384738727,0.001969724551271777,0.001410136069757074,0.03657801940935637,0.10372960372960373,0.016484888711392105,0.039619651347068144,0.005441695126270054,0.17703349282296652,0.0
YEAH RIGHT,Yeah Right,Joji,2018-05-08,USUYG1194991,0.6391835101060637,24.4,0.03324831568755361,0.13657220384457078,0.027532389387645878,0.6,0.0064837236016499315,0.013147084388775722,0.0010775757826940742,0.0005036094520361401,0.0005569461160667225,0.002680890036221567,0.11072261072261072,0.005227780246483032,0.017432646592709985,0.003162257303225296,0.014354066985645932,1.0
Let You Love Me,Let You Love Me,Rita Ora,2018-09-21,GBAHS1800674,0.6369821893135882,24.4,0.07169309992840729,0.074116983490602,0.048845808070660426,0.7052631578947368,0.0019843968573943073,0.0023982062665698664,0.0012031235711683816,0.0003846721009987064,0.0004363289175926828,6.656563790631811e-05,0.008158508158508158,0.0019569020311506853,0.006339144215530904,0.0008044757350063486,0.0430622009569378,0.0
eternal sunshine,eternal sunshine,Ariana Grande,2024-03-08,USUM72317272,0.639383630178107,24.4,0.010827038016000667,0.03125555775748614,0.006000238321211443,0.5473684210526315,0.004567076395371795,0.007417002740793406,0.009093216995179882,0.002946360591126731,0.006130719706661744,0.15279931102954278,0.009324009324009324,0.0009371080149172296,0.0,0.0012979417400971567,0.0,0.0
Por Primera Vez,Por Primera Vez,Camilo,2020-03-09,USSD12000019,0.6363818290974586,24.4,0.015963846653369865,0.0122105519901218,0.11821959486362252,0.07368421052631578,0.0010305263013751119,0.0024113178837933255,0.00011219114480632039,3.990555797644024e-05,4.2933871117614414e-05,0.029652521766337304,0.013986013986013986,0.0006423633571641514,0.028526148969889066,0.03615924851750127,0.04784688995215311,1.0
We Are Never Ever Getting Back Together,We Are Never Ever Getting Back Together,Taylor Swift,2012-01-01,USCJY1231018,0.6375825495297178,24.4,0.030263452307122643,0.015648951288214082,0.012887215125161156,0.6526315789473683,0.007608008581618635,0.006703214002424028,0.0011351748516357774,0.0006134401334964182,0.0007214572584656719,0.00201194436174058,0.008158508158508158,0.0009292331576490176,0.001584786053882726,0.0005490286506354257,0.02392344497607655,0.0
Soundgasm,Soundgasm,Rema,2021-06-10,NGA3B2114003,0.6399839903942366,24.4,0.1960412998089665,0.0004979750707581925,7.793601434925298e-05,0.23157894736842105,0.03672728870960084,0.030389123162978704,0.058771291191249984,0.00048274962140320817,0.0008366934215009976,0.0018251602668781467,0.013986013986013986,0.05256710972113631,0.0,2.0747813870282885e-08,0.06060606060606061,0.0
WANDA,DONDE QUIERO ESTAR,Quevedo,2023-01-20,BK4DA2215298,0.6397838703221933,24.4,0.02480874240047306,0.031540114940776534,0.015648313609459674,0.6210526315789473,0.0033309821081986147,0.008461919995896721,0.0002324941779136172,0.00010493135014125833,0.00019268462727897089,0.006131220594642247,0.04428904428904429,0.09648837614818231,0.02694136291600634,0.026276276354158464,0.03827751196172249,0.0
DARBA 9ADIYA,DARBA 9ADIYA,Moha K,2023-04-28,FR6F32300680,0.6401841104662798,24.4,0.011997016026034207,0.02127064945095708,0.0259867092603541,0.6701754385964911,0.0006538172373627695,0.0020603855290499034,7.0878012530179e-05,1.2688996044787793e-05,4.924404882936213e-06,0.0009089770394030246,0.01515151515151515,0.0008628593606740878,0.009508716323296355,0.0014158930619497148,0.10047846889952153,1.0
EMPELOTICA,EMPELOTICA,Lenny Tavï¿½ï¿,2024-02-22,USWL12400540,0.6383830298178907,24.4,0.056357514474354956,0.14739045818787888,0.05305830949146034,0.7263157894736841,0.0033360446724991777,0.006686635911124355,0.0005227739049597646,0.00043829359703263934,0.0003459021200815502,0.0015442845537195786,0.03263403263403263,0.0033057525832344285,0.003169572107765452,0.006059025580166451,0.025518341307814992,1.0
Le Va Doler,Le Va Doler,Grupo Frontera,2023-05-25,FRX762399738,0.6389833900340205,24.4,0.20376839895164647,0.14509706279397888,0.08580693809910905,0.6210526315789473,0.007031988869860702,0.018067680145997616,0.15175951402702828,0.0012605364170628682,0.0010288508248035592,0.0010586591403479431,0.10256410256410256,0.01048649743223404,0.09508716323296355,0.012415637054674371,0.07177033492822966,0.0
Never Gonna Give You Up (2022 - Remaster),Whenever You Need Somebody (Deluxe Edition - 2022 Remaster),Rick Astley,2022-05-20,GB5KW2103369,0.6387832699619772,24.4,0.06619358295658116,0.060419281459236335,0.01389024774180246,0.7999999999999999,0.0038154400743310468,0.004076043913421985,0.0011222610984210045,0.00030485536185670766,0.00021082579294252822,0.04677038193917952,0.01282051282051282,0.00044605441526372335,0.003169572107765452,1.3423835574073027e-05,0.09569377990430622,0.0
Million Dollar Baby,Million Dollar Baby,Ava Max,2022-09-01,USAT22206818,0.6377826696017611,24.4,0.0981142585762885,0.143408351414571,0.08238565151243192,0.6736842105263158,0.035037616352499946,0.05979703088150157,0.005777272861941092,0.0026232806011375585,0.0027204552837111744,0.021500240394228157,0.04195804195804195,0.010228877101602533,0.022187004754358162,0.00451578243668094,0.07655502392344497,1.0
should've wore a bonnet,should've wore a bonnet,21 Savage,2024-01-10,USSM12309170,0.6359815889533721,24.4,0.28424016336646624,0.15680455833506945,0.11531787916474198,0.7684210526315789,0.051986009140306405,0.06761110538893245,0.0016772261463222876,0.0027186154252496113,0.001835393811216342,0.2136799027865352,0.13403263403263405,0.01049887220794123,0.017432646592709985,0.0009149163482378644,0.004784688995215311,0.0
Low Down,My Turn (Deluxe),Lil Baby,2020-02-28,USUG12000088,0.6405843506103662,24.4,0.015222314716128315,0.02223949890835057,0.030134219531557288,0.6631578947368421,0.0023271593861430664,0.005839163241945415,0.017088578486913253,0.0016055315512427744,0.002057687380572183,0.006653513736652351,0.04895104895104895,0.004047114146056103,0.009508716323296355,0.009709146978737579,0.03349282296650718,0.0
